"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBL","2021-12-02","660","660","611","620","-4.32","199585"
"MLBL","2021-12-01","663","663","640","648","-0.31","114361"
"MLBL","2021-11-30","629","659.9","623","650","5.28","219049"
"MLBL","2021-11-29","665","691.8","605.3","617.4","-5.31","949154"
"MLBL","2021-11-28","689","696","643.5","652","-7.25","449129"
"MLBL","2021-11-25","713","729","699","703","-1.95","227434"
"MLBL","2021-11-24","707","730","705.1","717","-0.57","159977"
"MLBL","2021-11-23","740","748","712","721.1","-2.55","143579"
"MLBL","2021-11-22","754","765","740","740","0.00","462197"
"MLBL","2021-11-21","754.8","800.8","725.2","740","0.00","682071"
"MLBL","2021-11-18","746.9","838","740","740","-2.89","753041"
"MLBL","2021-11-17","806.6","806.6","759.3","762","-7.41","501124"
"MLBL","2021-11-16","750","825","735","823","9.73","493830"
"MLBL","2021-11-15","769.3","800.2","725","750","-4.46","474864"
"MLBL","2021-11-14","701","785.9","696","785","9.87","379514"
"MLBL","2021-11-11","809","809","714.5","714.5","-9.99","656213"
"MLBL","2021-11-09","864.4","864.4","793.8","793.8","-10.00","62320"
"MLBL","2021-11-08","787","883","740.8","882","9.84","678625"
"MLBL","2021-11-03","744","803","720","803","10.00","479520"
"MLBL","2021-11-02","708.9","735","695.1","730","5.04","651976"
"MLBL","2021-11-01","675","720","670","695","4.04","523925"
"MLBL","2021-10-31","632.4","675","615.2","668","7.74","271606"
"MLBL","2021-10-28","639.5","639.5","613","620","-1.12","129829"
"MLBL","2021-10-27","627","644","609.6","627","0.00","167682"
"MLBL","2021-10-26","610","633","601","627","3.64","181152"
"MLBL","2021-10-25","592","615","568","605","0.17","269663"
"MLBL","2021-10-24","560","604","549","604","7.86","85711"
"MLBL","2021-10-21","588.59","601","559","560","-3.11","41305"
"MLBL","2021-10-20","590.5","612","566.5","578","-0.17","74076"
"MLBL","2021-10-19","594.6","594.6","545","579","-2.62","106382"
"MLBL","2021-10-18","573","594.6","555","594.6","1.99","100245"
"MLBL","2021-10-17","587","595","565","583","1.22","45499"
"MLBL","2021-10-11","643","643","574","576","-8.76","212485"
"MLBL","2021-10-10","597","631.3","568","631.3","7.73","182631"
"MLBL","2021-10-06","545","586","535.2","586","9.53","126166"
"MLBL","2021-10-05","520","550.7","515.1","535","2.27","33835"
"MLBL","2021-10-04","525","539","516","523.1","-1.12","55560"
"MLBL","2021-10-03","552.8","552.8","528","529","-2.40","95118"
"MLBL","2021-09-30","565","565","535","542","-2.88","54158"
"MLBL","2021-09-29","540","560.8","526","558.1","3.35","115966"
"MLBL","2021-09-28","547","567.7","537","540","-3.23","91740"
"MLBL","2021-09-27","574","574","545","558","-2.11","120679"
